Базовая;Фото;Название;Артикул;Группа;Количество
11470;https://static.tildacdn.com/stor3161-3933-4338-b363-386439376232/7a1364810c7e8b47760277261cdc3e64.png;BASE;base001;FRUITS;0
20260;https://static.tildacdn.com/stor6434-3132-4231-a336-336365393462/44a97a13c4274660e0efa65225d4e5fa.png;COMBAT;combat001;FRUITS;0
28140;https://static.tildacdn.com/stor3430-3265-4733-b538-353438396661/db6c4db8ad4b18d7799ea075f0526970.png;PRO;pro001;FRUITS;0
1990;https://kavarabrand.com/upload/iblock/3c8/6s7180jklzvo6qp2h4yvk5540j0uzjnq.jpg;"Бейсболка COTTON BLACK";13391119913;Аксессуары;80
1990;https://kavarabrand.com/upload/iblock/072/uj1im6r3l5klj6irb6lfkdgw562m5eln.png;"Бейсболка COTTON GRAPHITE";13391118013;Аксессуары;121
1990;https://kavarabrand.com/upload/iblock/21c/rxe9g1b0p7ykf1vhpceqvy3yffr9nkz2.jpg;"Бейсболка COTTON NAVY";13391116013;Аксессуары;145
2590;https://kavarabrand.com/upload/iblock/42a/b3hbt491z312hxo8kgw559btxuuyw9h4.jpg;"Бейсболка NYLON BLACK";13391229913;Аксессуары;9
2590;https://kavarabrand.com/upload/iblock/7e0/g6sqq3pp8qtg80gs96mrwxadijpxpgbn.png;"Бейсболка NYLON GREEN";13391225513;Аксессуары;69
2590;https://kavarabrand.com/upload/iblock/cd5/5uningm17v9hvb9n62nkdqktwmnm909w.jpg;"Бейсболка NYLON VIOLET";13391226213;Аксессуары;52
3590;https://kavarabrand.com/upload/iblock/43e/nl6tao2muwfftvb48uvki3smlfr1e9zn.png;"Бейсболка ULTRALIGHT BLACK";1311913299;Аксессуары;64
5990;https://kavarabrand.com/upload/iblock/9f1/je2ewkyxyfqmhywpfjrh3gmea178ou05.jpg;"Брюки COTTON MELANGE";0121613170;Брюки;6
5990;https://kavarabrand.com/upload/iblock/11f/h10505ty93hvzutiena3mlrgp0ichs36.jpg;"Брюки INTRO LIGHT FLEECE BLACK";0111612199;Брюки;60
7990;https://kavarabrand.com/upload/iblock/43c/vrmtka5rbxy22qs1t6dbcm0sd8rnu0tv.jpg;"Брюки INTRO SPEAR BLACK";0111613199;Брюки;13
6990;https://kavarabrand.com/upload/iblock/24e/0rzoy2fkeel81zgs4xbeeqzc1lt1c73p.jpg;"Брюки INTRO STORM BLACK";0111642199;Брюки;43
6990;https://kavarabrand.com/upload/iblock/f8b/uvxjtqao7qycza9tb8tfhimel9f2ren4.jpg;"Брюки INTRO TENDO BLACK";0111632199;Брюки;107
5590;https://kavarabrand.com/upload/iblock/85a/md771wh4hhtnvzvwl4ox1c2t06btse2t.jpg;"Брюки INTRO TRAINING BLACK";0111622199;Брюки;47
6590;https://kavarabrand.com/upload/iblock/f82/beio2zzxnkj3bij3iimnys60ey4wwars.jpg;"Джемпер INTRO 1/4 ZIP BLACK";0111312199;Джемперы;34
6590;https://kavarabrand.com/upload/iblock/d46/jotwge3dl4lr31hm2asloed1ql23rchu.jpg;"Джемпер INTRO 1/4 ZIP WHITE";0111312101;Джемперы;51
7590;https://kavarabrand.com/upload/iblock/a4a/yjz74otzxktbgtdzozm62xn6bx7firf9.jpg;"Джемпер INTRO TENDO 1/4 ZIP BLACK";0111322199;Джемперы;22
5990;https://kavarabrand.com/upload/iblock/f52/wj04lslcc87pjdl69d409r64336g1z5t.jpg;"Джоггеры COTTON BLACK";0121623199;Брюки;6
5990;https://kavarabrand.com/upload/iblock/bd3/ozqvx13cn9cen937176cx0qh4ma8cqa3.jpg;"Джоггеры COTTON GRAPHITE";0121623180;Брюки;5
10990;https://kavarabrand.com/upload/iblock/64b/4dbhtph0kypcxho4979gjwbo56ryfrn4.jpg;"Дорожная сумка DUFFLE BAG CORDURA®";13321219913;Сумки;101
8490;https://kavarabrand.com/upload/iblock/0ad/qs2n7hue82wj3ehp9t8xz4hk0b2okv3b.png;"Жилет INTRO COLD TRAINING BLACK";0112813199;Жилеты;39
;;"ИНДИВИДУАЛЬНЫЙ ПОШИВ";;;0
3590;https://kavarabrand.com/upload/iblock/733/7nf01tpgjo61dyugn469n0yi0vlhzyh2.png;"Комплект: шапка и Бафф HEADWEAR TRAINING SET BLACK";11310123299;Аксессуары;110
3590;https://kavarabrand.com/upload/iblock/f89/stee6h3tbwja6sp7etv75ro30e1uerqv.png;"Комплект: шапка и Бафф HEADWEAR TRAINING SET GRAPHITE";11310123280;Аксессуары;48
3590;https://kavarabrand.com/upload/iblock/f2d/4tzvyeq3h7uxbnm8lmeex8xzsy5p2hoj.png;"Комплект: шапка и Бафф HEADWEAR TRAINING SET WHITE";11310123201;Аксессуары;61
17990;https://kavarabrand.com/upload/iblock/3fc/vr10wgbs5sjb5peojxam94awna4tv09f.png;"Куртка INTRO COLD TRAINING BLACK";0111713199;Куртки;6
10990;https://kavarabrand.com/upload/iblock/6d3/kbql3icogptuab6g7vsbjaxjqfww9ajf.png;"Куртка INTRO STORM BLACK";0111712299;Куртки;66
10990;https://kavarabrand.com/upload/iblock/072/tx1r9dol17r80hogsbj8h8ss3jioz21a.jpg;"Куртка INTRO STORM WHITE";0111712201;Куртки;65
5890;https://kavarabrand.com/upload/iblock/293/80q8evqd5mo679jrce45smgzbtvb8zi1.jpg;"Лосины 3/4 INTRO BLACK";CL20002.200;Лосины;77
5890;https://kavarabrand.com/upload/iblock/756/xz1035qw6ifpw731fgnvigfr4i01sckv.jpg;"Лосины 3/4 INTRO WHITE";CL20002.100;Лосины;36
6490;https://kavarabrand.com/upload/iblock/33a/i0m9du5gblhmbkppaj989qzm06hblrv9.jpg;"Лосины INTRO BLACK";CL20001.200;Лосины;176
6490;https://kavarabrand.com/upload/iblock/d1c/a3uyzf8hfujpr8psnpx2yvf1qp4ahrma.png;"Лосины INTRO WARM BLACK";011313199;Лосины;18
6490;https://kavarabrand.com/upload/iblock/143/j60pghbxmnc61jgwvj7a14hy6wsn7cl0.jpg;"Лосины INTRO WHITE";CL20001.100;Лосины;26
2990;https://kavarabrand.com/upload/iblock/d75/496m4kvie009wh0soybo5kwuuxelsi2z.jpg;"Майка INTRO BLACK";1L10005.200;Майки;225
2990;https://kavarabrand.com/upload/iblock/3e2/a5t7z21hf87ea5y9295nq0skdaornxj8.png;"Майка INTRO DARK NAVY";01109231601;Майки;8
2990;https://kavarabrand.com/upload/iblock/2cc/b153mlopofugbumqs2l9ww8a751ev3xq.jpg;"Майка INTRO WHITE";1L10005.100;Майки;40
3490;https://kavarabrand.com/upload/iblock/c10/fc0z6a1njt677pu8yz334n03jzlhnvfi.png;"Майка NEON BLACK";01109231991;Майки;32
